detailed_description,brief_summary
"This is a Phase 2, two-arm, randomized, placebo-controlled, double-blind, multicenter study of relapsed/refractory multiple myeloma patients who have received at least two prior therapies, including a proteasome inhibitor and an IMiD. Patients who meet all the eligibility criteria will be randomized to one of two blinded treatment arms: - selinexor + carfilzomib + dexamethasone - placebo + carfilzomib + dexamethasone",Double-blind study will compare the efficacy and assess safety of selinexor plus carfilzomib (Kyprolis(R)) plus low-dose dexamethasone versus placebo plus carfilzomib plus low-dose dexamethasone in patients with relapsed/refractory multiple myeloma.
Carnoy's solution is a tissue fixative who has alcohol allowing for fat clearing along with tissue fixation. Previous studies demonstrated this ability and the investigators introduced this for patients with rectal cancer who has undergone preoperative chemoradiaton. This subgroup of patients have a very low lymph node yield.,This study evaluates the number of lymph nodes dissected in rectal cancer specimens following fixation with 10% neutral buffered formaldehyde or Carnoy's solution. Half of the specimens with be fixed in each solution.
"This is a Phase 2, randomized, double-blind, placebo-controlled study in subjects with episodic migraine. The study is designed to evaluate if treatment with AMG 334 once a month for 6 months compared with placebo is effective in reducing the mean monthly migraine days. Additionally, this study will continue to evaluate the efficacy and safety of AMG 334 during the open label treatment phase where subjects will continue to receive active treatment monthly.","Randomized, double-blind, placebo-controlled, parallel-group, multicenter study followed by an open-label treatment phase. To evaluate the effect of AMG 334 compared to placebo on the change from baseline in monthly migraine days."
"Traditionally, oral intake after CS was depend on insurance of intestinal movement, since uncomplicated CS does not affect the intestine and the mother needs to care of her infants, lactates, discharged from hospital, early oral hydration may enhance bowel movement, so the investigators need to evaluate the safety of early oral hydration after CS. This study compare the effects of introducing water during the 1st hour or after 6 hours on bowel movement after CS.","This study evaluates the effect of early oral hydration on bowel movement after CS, it includes 2 groups: study group participants receive 100 ml water after 1hr from the end of CS, while the others receive water after 6hrs from the end of CS."
"Daily injections of insulin is a necessity for many patients with diabetes mellitus in order to treat hyperglycaemia. Julphar Insulin 30/70 and Humininsulin(R) Profil III are both biphasic insulins, i.e. consist of a mixture of short-acting soluble insulin and intermediate-acting isophane insulin. The new insulin, Julphar Insulin 30/70, is biosimilar to Huminsulin(R) Profil III. Demonstration of similar absorption (PK) and effects (PD) are necessary to achieve market approval of Julphar Insulin 30/70.","This study in healthy volunteers aims to demonstrate similar PK and PD properties of the new human biphasic insulin, Julphar Insulin 30/70 and an already approved reference insulin, Huminsulin(R) Profil III. All participants will receive both study treatments on two separate dosing days."
"To healthy volunteers subjects of twenty four(24), following treatments are administered dosing in each period injected wash-out period is a minimum of 7days. Treatment A(Test Drug): Vorico Injection 200mg(Voriconazole) for Single Dose Treatment B(Reference Drug): Vfend(R) IV 200mg for Single Dose Pharmacokinetic blood samples are collected up to 24hrs. Safety and pharmacokinetic are assessed.",Phase I Clinical Trial for Comparison of Pharmacokinetic Characteristics of Vorico Injection 200mg(Voriconazole) and Vfend(R) IV 200mg for Single Dose Crossover Intravenous Infusion in Healthy Volunteers
The feedback system control (FSC) technique has been developed to rapidly identify optimal combinations for therapeutic purposes. Low dose of TDF+3TC+EFV combination has been test in vitro study by FSC which showed high efficacy and now the investigators apply it to human to further optimize the ART combination.,"The purpose of this study is to determine efficacy of the combination of low dose of Tenofovir, Efavirenz and Lamivudine in treating HIV-infection."
"It is confirmed by many studies that patients of thymoma with complete resection have better prognosis than those with either incomplete resection or without surgery. However,whether patients with stage II or III thymoma could benefit from adjuvant radiotherapy after complete resection remains controversial. The purpose of this study is to investigate whether adjuvant radiotherapy after complete resection can improve survival for stage II or III thymoma.",This study is designed to investigate whether adjuvant radiotherapy after complete resection has a better survival for stage II or III thymoma.
The goal of the study is to compare 3 methods of hemoglobin measurement in pediatric patients undergoing major surgery. During general anesthesia investigators will measure and compare at different periods of time blood hemoglobin levels obtained from a radial artery catheter with 2 non invasive methods of measurement using hemocue and SpHb,Investigators compare the accuracy of the SpHb and hemocue with blood Hb levels
"There will be 3 dose cohorts of 15 subjects each. In Period 1, subjects will be randomized to either receive multiple doses of both tamsulosin HCl and solifenacin succinate as single entity tablets, or the combination tablet EC905. The alternate treatment will be provided in Period 2. The cohorts will be balanced for period effects and first-order carry over effects.",A study to compare the pharmacokinetics of tamsulosin HCl and solifenacin succinate after co-administration of single entity tablets and of the combination tablet EC905 under steady state conditions at three dose strengths.
Primary Outcome Measures: To evaluate the overall survival (OS) in pancreatic cancer patients with liver metastasis treated with radiofrequency ablation combined with S-1. Secondary Outcome Measures: 1. To explore the correlation of OS and serum microRNA of the patients. 2. To evaluate the progression free survival (PFS) and its correlation with serum microRNA. 3. To observe the objective response rate (ORR) and adverse effects of the treatment.,"This study aims to explore the efficacy and safety of radiofrequency ablation combined with S-1 in pancreatic cancer patients with liver metastasis, as well as the correlation of serum microRNA and patients' prognosis. This protocol will be overseen by the Fudan University Institutional Review Board which has Federal Wide Assurance through the U.S. Department of Health & Human Services (Approved: April 25, 2002)."
This is an observation study. The investigators recruit patients who agree to use their postoperative specimen for miRNA tool examination and receive the investigators' follow up.Their receiving chemotherapy or not will decided by their doctors. The investigators just see whether the stratifying tool could predict prognosis.,The investigators discover the investigators' miRNA tool can be a useful tool to predict the patients with stage II colon who can benefit from chemotherapy.Then the investigators plan to make an observation study that may validation this tool.
This is a randomized controlled trial to investigate the optimal timing of delivery in clinically stable women with a suspected morbidly adherent placenta dispositioned for a scheduled delivery. The primary outcome will be assessed by comparing the composite neonatal morbidity and composite maternal morbidity between the two groups (delivery at 34 versus 36 weeks gestational age).,This is a randomized controlled trial to investigate the optimal timing of delivery in clinically stable women with a suspected morbidly adherent placenta.
"The purpose of this investigation is to evaluate the safety and efficacy of an investigational version of the Cutera enlightenTM laser for benign pigmented lesion (BPL) removal. Currently, the enlightenTM laser offers two wavelengths: 532nm KTP and 1064nm Nd:YAG. The version of the laser under investigation allows the user to choose from a range of wavelengths.",To evaluate the safety and efficacy of an investigational version of the Cutera enlightenTM laser that offers multiple wavelengths for removal of benign pigmented lesions.
"Parathyroid tissues gets heavier when they become Hyperplasia. Because of this weight change, they change their normal anatomic positions. 125 patients who have been operated earlier will be included in the study.",This study investigates if Parathyroid Tissues Anatomic Localizations Are Displaced Downward in Parathyroid Hyperplasia Cases or not.
"Locally recurrent nasopharyngeal carcinoma (NPC) may be salvaged by intensity modulated-radiotherapy (IMRT), but severe late toxicities become the most common reason of death in IMRT salvaged NPC patients. The aim of this phase II randomized controlled study is to address the efficacy of concurrent Endostar (Endostatins) with IMRT to reduce the occurrence of severe late toxicities compared with IMRT alone for locally recurrent NPC patients.",The purpose of this study is to determine whether endostar and IMRT is effective in the treatment of locally recurrent nasopharyngeal carcinoma patients compared with IMRT alone.
Including a German sleep committee a new questionnaire has been created to ask patients about their travel Habits. Only travels over a onenightstay were of interest. All detailed Information about the Destination has been asked. A Special Point of interest were the Impacts of traveling. For each Patient a doctor completed the medical history including sleep related breathing disorder and relevant medical conditions e.g. orthopedic Impacts.,One questionnaire has been configured to ask therapy naive and treated patients about their travel activities. Travel activities include private and professional traveling. Another questionnaire collects medical information.
"This study aimed to evaluate the safety and utility of VelaTM XL thulium laser in cutting and hemostasis for gastrointestinal epithelial neoplasia in Chinese population. Vela China study will enroll at least 60 patients. Follow up points are 72 3 hours post procedure, 72 days post procedure, 14 days(2 days) post procedure.","Prospective, multicenter, single-arm, non-controlled, 60 subjects enrolled and 14 days follow up for evaluate the safety and utility of VelaTM XL thulium laser."
"Patients undergoing elective cesarean under spinal are included in the study. These patients are treated with carbetocin to reduce blood loss from the lining of the womb after delivery of the baby. The study is a randomised double blind controlled trial with 2 groups. One group will receive carbetocin quickly, the second group will receive carbetocin slowly. The investigators will compare the difference between groups with respect to side effects and the effect of carbetocin on the cardiovascular system.","The investigators are investigating whether slow administration of carbetocin is tolerated by patients better than if it is administered quickly, with respect to side effects such as headache, nausea, vomiting and facial flushing."
The PRE-AR project is a longitudinal observational study. The primary objective is the assessment of lung function parameters in late preterm preschool children. Pulmonary function tests will be performed.,The PRE-AR project is a longitudinal observational study. The primary objective is the assessment of lung function parameters in late preterm preschool children.
"This study is a multicenter, randomized, double-blind, placebo-controlled, parallel-group, 8-week study, consisting of 3 distinct periods: a screening period, pretreatment period, and treatment period. The study will enroll patients who have GERD and continue to experience GERD symptoms while receiving QD, standard-dose PPI therapy. Eligible patients will continue to take their PPI and will be randomized to placebo or to one of three doses of study drug.","The objectives of this study are to evaluate the safety, efficacy, and dose-response relationship of IW-3718 administered orally to patients who have GERD and continue to experience GERD symptoms while receiving once-daily (QD), standard-dose PPIs"
"The aim of this study is to evaluate the clinical performance of stenfilcon A compared with narafilcon A and delefilcon A. The study participants will be allocated to two parallel groups (Group 1 and Group 2), 60 subjects each, based on the control lenses, narafilcon A and delefilcon A spherical lenses. Study groups: Group 1: stenfilcon A vs. narafilcon A Group 2: stenfilcon A vs. delefilcon A","Clinical evaluation of stenfilcon A compared with narafilcon A and delefilcon A This is a total 120 subject, randomized, open label, bilateral wear, two week crossover study (each lens for 1 week) evaluating the clinical performance of stenfilcon A spherical lenses compared to narafilcon A or delefilcon A spherical lenses."
"The multicomponent bundle of interventions is designed to be multidisciplinary, and included measures taken to reduce noise, light and iatrogenic sleep disturbance, as well as attempts to modify risk factors for delirium. The patients will exposed to different intervention through three nights (ear plug, eye mask) grouping of nursing activity to be delivered before the 23:00 or delay their completion until after 08:00 where possible. Orientate patients regarding time, place and date every eight hours.","The patients will exposed to different intervention through three nights (ear plug, eye mask). 50 patients in the age range 18- 60 years admitted to ICU of Assiut university hospitals will be randomly allocated into into two groups (control group and intervention group)."
"This is a randomized, double-blind, parallel group study comparing two doses of INT131( 3 mg and 1 mg) administered orally (PO) daily (QD) versus placebo 1 tablet PO QD in subjects with treatment-naive RRMS for 3 years.. Part 2 of the study is open-label, Subjects completing 6 months of evaluations and study drug in Part 1 without serious study drug-related treatment emergent adverse events (TEAE) will be switched to INT131 1 mg PO QD and followed for an additional 6 months.","This is a randomized, double-blind, parallel group study comparing two doses of INT131( 3 mg and 1 mg) administered orally (PO) daily (QD) versus placebo 1 tablet PO QD in subjects with treatment-naive RRMS for 3 years."
"Prospective multicenter sample collection and testing study. Approximately 750 apparently healthy subjects, including healthy subjects with stable co-morbidities, age, gender and ethnicity dispersed will be eligible for enrollment",Prospective multicenter sample collection and testing study.
"Evaluation of the increase of the driving speed after apparatus by Walkaide(R) medical device in deficits levator foot of central origin. The main objective is the study of changes in walking speed on the 6-minute walk test between the initial walk without orthotic and walking with orthotic Walkaide(R) medical devie after one month of training. This is a prospective multicenter study, without control group, qualified as a biomedical research.",Evaluation of the increase of the driving speed after apparatus by Walkaide(R) medical device in deficits levator foot of central origin.
"The study aims to evaluate the clinical result of Combined Surgery in Management of Congenital Pseudarthrosis. The combined surgery includes sleeve resection of the pathological soft tissues, retrograde intramedullary rodding, packaged lilac bone autograft,and appliance of llizarov external fixation device. Bone uion rate,average time of healing, Healing index, ankle valgus, limb length discrepancy, tibia axis alignment are recorded and evaluated.",The study aims to evaluate the clinical result of Combined Surgery in Management of Congenital Pseudarthrosis.
"Several studies have shown an association between Cluster headache (CH) and smoking. However, no data exists on the link between CH and other addictions, and impact of these addictions on clinical characteristics of the disease. In addition, despite the strong biological link between CH and the vascular system, systematic investigations about vascular functions in CH patients are lacking. This will be a prospective cohort study of 150 patients with CH, conducted in the Headache Center in Bordeaux, France.","Cluster headache (CH) is one of the most painful primitive headaches. Developments in neuroimaging have demonstrated activation of the ipsilateral hypothalamic and orexinergic system, which is similar in patients with addictions. CH has strong links to the vascular system but there is no study measuring endothelial function in CH sufferers."
Infants and toddlers will receive 2 doses of vaccine 3 months apart. Children 2 years through adults aged 55 years will receive 1 dose of vaccine. All participants will be evaluated for safety up to 28 days post-vaccination.,"The aim of the study is to assess the safety of Menactra vaccine in infants, toddlers, children, adolescents, and adults Objective: - To describe the safety profile after each and any dose (when applicable) of Menactra vaccine in participants aged 9 months to 55 years for registration."
"This is a double-blind, randomized, placebo-controlled, cross-over study in subjects with Lewy body dementia who experience frequent visual hallucinations. Subjects who meet the randomization criteria enter the double-blind treatment period. Each subject will be randomized 1:1 to one of the 2 treatment sequences: Nelotanserin in the first treatment period followed by placebo in the second treatment period, or placebo in the first treatment period followed by Nelotanserin in the second treatment period.",This study seeks to evaluate safety and efficacy of Nelotanserin for the treatment of visual hallucinations in subjects with Lewy body dementia.
"This study is a 1:1:1 randomized, double-blinded, controlled phase IV clinical trial in a military command in Beijing. Healthy individuals aged between 18~34 years who had not received any influenza vaccine during recent three years will be enrolled and administrated one dose TIV. Safety data will be collected for whole study (Day 0 to Day 30).Blood samples will be collected for immunogenicity assessments before injection and 21 days after vaccination.","The purpose of this study is to assess the safety and immunogenicity of three seasonal trivalent influenza vaccines (TIVs)manufactured by Glaxosmith Kline (GSK), Beijing Sinovac Biotech (Sinovac) and Shenzhen Sanofi Pasteur (Pasteur) in Chinese healthy servicemen. Using imported GSK's TIV as control, to compare it with other two domestic TIVs in Chinese healthy servicemen."
The study objective is to collect data to assess the accuracy and reliability of Earlysense contactless monitoring for blood pressure monitoring vs. gold reference methods such as ABPM (Ambulatory blood pressure measurement) for patients hospitalized in Internal Medicine department and vs. Arterial Line measurements for patients hospitalized in ICU. In addition the collected data will be used to further enhance and improve the existing algorithms.,The study objective is to assess the accuracy of Earlysense contactless monitoring to detect changes in blood pressure vs. Gold reference method / devices including ambulatory blood pressure monitoring device (ABPM) or invasive blood pressure monitoring for patients who have arterial line as part of their standard clinical care.
"Patients with chronic venous disease causing pain or ache satisfying the inclusion and exclusion criteria will be randomised into two groups, active stockings (18-21 mmHg) or placebo stockings. The primary outcome of the study (pain/ache scored using a visual analogue scale) and a number of secondary symptoms, signs and rVCSS (revised Venous Clinical Severity Score) will be obtained at baseline and after one week of wearing the active or placebo stocking.","Patients with chronic venous disease causing pain or ache will be randomised into two groups, active stockings (18-21 mmHg) or placebo stockings"
"Acetaminophen will be use to assess the effect of ITCA 650 on the rate of gastric emptying. Interactions between ITCA 650 and the medications lisinopril, digoxin, atorvastatin, and warfarin will also be studied.","A Phase 1, Fixed-Sequence, Open-label Study in Healthy Subjects to Estimate the Effects of ITCA 650 on Gastric Emptying and on the Absorption Pharmacokinetics of Each of 4 Commonly Studied DDI Probe Compounds."
"This study is a prospective, single site, daily wear, double masked, randomized bilateral cross over dispensing study of binocular wear of Study Test Lens and comfilcon A sphere contact lenses over 1 week of daily wear. Assessments will be obtained upon dispensing each lens pair and following 1 week of daily lens use.",This study will investigate performance criteria over one week of daily wear to determine if the Study Test contact lens performs equivalently to the comfilcon A contact lenses in terms of measurement and subjective ratings of visual performance.
"This study is a prospective, single site, daily wear, double masked, randomized bilateral cross over dispensing study of binocular wear of Study Test Lens and comfilcon A sphere contact lenses over 1 week of daily wear. Assessments will be obtained upon dispensing each lens pair and following 1 week of daily lens use.",This study will investigate performance criteria over one week of daily wear to determine if the Study Test contact lens performs equivalently to the comfilcon A contact lenses in terms of measurement and subjective ratings of visual performance.
"The Da Vinci Surgical System may help to overcome some of the difficulties of laparoscopy for complicated abdominal surgery. The aim of this study was to present an innovative technique that is robot-assisted, simultaneous radical resection of both colorectal cancer and liver metastasis (RSRCLM).","The purpose of this study is to evaluate the safety and effectiveness of robot-assisted simultaneous resection in selected patients with sigmoid colon cancer or rectal cancer liver metastases, and compared with the traditional open procedure."
"This study is a prospective, single site, daily wear, double masked, randomized bilateral cross over dispensing study of binocular wear of Study Test Lens and comfilcon A sphere contact lenses over 1 week of daily wear. Assessments will be obtained upon dispensing each lens pair and following 1 week of daily lens use.",This study will investigate performance criteria over one week of daily wear to determine if the Study Test contact lens performs equivalently to the comfilcon A contact lenses in terms of measurement and subjective ratings of visual performance.
"The purpose of this bilateral cross-over study is to evaluate the clinical performance of senofilcon A lens with the stenfilcon A lens. In particular, the study will focus on ocular physiology, lens fit, lens surface, visual acuity, and subjective response.",The objective of this study is to compare the clinical performance of senofilcon A lens with the stenfilcon A lens each for one week of daily disposable wear.
"Human umbilical cord mesenchymal stem cells exhibit the potential to differentiate into chondrocyte and osteocyte, which have been confirmed in in vivo and in vitro experiments. There have been few clinical reports describing umbilical cord mesenchymal stem cells for treatment of Rheumatoid Arthritis. To investigate the effects of hUC-MSC treatment for Rheumatoid Arthritis, 20 patients with Rheumatoid Arthritis will be enrolled and receive 4 times of hUC-MSC transplantation.",The purpose of this study is to evaluate the safety and efficacy of human umbilical cord mesenchymal stem cell(hUC-MSC) for Rheumatoid Arthritis.
"The patients in this study are planned to have a Percutaneous Coronary Intervention (PCI) with recanalization of Chronic Total Occlusion (CTO) on clinical grounds alone. This study will be recording pressure wire readings from both blocked and narrowed arteries, to better guide treatment option. To date there is no data available on instantaneous wave free ratio (iFR) measurement (a pressure derived assessment of flow limitation) in patients with blocked arteries.","This study will be recording pressure wire readings from both blocked and narrowed arteries, to better guide treatment options; medications, stents or potentially bypass surgery, for patients with Chronic Total Occlusion (CTO)."
"The ""Automated control of mechanical ventilation during general anesthesia study (AVAS study) is an international investigator-initiated bicentric observational study investigating the application of Smart Vent Control (SVC) during general anesthesia. The main objective of this study is to describe the application of SVC and to assess its safety and efficacy.","Prospective, bicentric observational study to assess a novel system for automated control of mechanical ventilation (Smart Vent Control, SVC) during general anesthesia."
"212 patients are randomly recruited from inpatients of Shanghai Zhongshan Hospital, Eastern Hepatobiliary Surgery Hospital, RenJi Hospital, Anhui Provincial Hospital, Subei People's Hospital of Jiangsu Province and Affiliated Tumor Hospital of Nantong University from February 2016 to July 2016. Randomly assigned about half of the patients to receive Enhanced Recovery After Surgery(ERAS) protocol and the other half to receive conventional treatment. Evaluate the safety and efficacy of the ERAS protocol.",The purpose of this study is to evaluate Enhanced Recovery After Surgery(ERAS) protocol versus conventional treatment on patients who underwent liver resection for hepatocellular carcinoma(HCC).
This is the first study being conducted in these patients and is designed to assess the effect of 8 weeks of dosing of CK-2127107 on measures of muscle function in both ambulatory and non-ambulatory patients with SMA. The plasma concentration of CK-2127107 will be measured at selected time points during the course of dosing and the plasma concentrations obtained in this study may be used to conduct exposure-response analysis.,The primary objective of this study is to demonstrate a pharmacodynamic effect of CK-2127107 on measures of skeletal muscle function or fatigability in patients with Spinal Muscular Atrophy Types II-IV.
Each set of measurements of intraabdominal pressure included intra bladder and intragastric pressure in the supine position followed by the semi-recumbent position at head of bed 30. All four measurements were taken over a period of 5 to 10 min or less to reduce the possibility of changes in intraabdominal pressure over time. Three sets of readings were taken at least 4 h apart over a 24-h period.,Measuring intraabdominal pressure in the semi-recumbent position and supine position.
"Few patients who have major risk factors develop ARDS. The heritable determinants might be the reason. The multicenter study is to investigate the association between ARDS and polymorphism in ARDS gene. Meanwhile, the association between ARDS and different methods of therapy.",Few patients who have major risk factors develop Acute Respiratory Distress Syndrome (ARDS). The heritable determinants might be the reason. The multicenter study is to investigate the association between ARDS and polymorphism in ARDS gene r.
It is expected to enroll 22 obese subjects with chronic kidney disease (decrease in glomerular filtration and/or albuminuria/proteinuria). After the inclusion in the study patients will remain for six months with a reduced calorie diet until the day of bariatric surgery. Time monitoring of the patient after surgery is 24 months.,"This study is designed as a prospective, single-center, longitudinal and analytical study on the effect of bariatric surgery in obese patients with chronic kidney disease (CKD)."
"This is a prospective, randomized, observer blinded clinical trial comparing motor strength in knee extension between two sets of patients, one receiving a proximal thigh block of the saphenous nerve and one receiving a distal thigh block of the saphenous nerve. The secondary objectives are to compare the pain relief and quality of life of participants in these two groups.",This research is being done to compare two different saphenous nerve block locations and will help to determine which site best maintains knee strength and pain control.
"This is a single-arm, non-randomized study designed to assess the feasibility of the NuPulseCV iVAS in patients eligible for a heart transplant. Data obtained from the study will be used to make device modifications, refine the patient population, and design a future clinical trial suitable for assessing longer-term use in heart failure patients.",The purpose of this feasibility study is to gain clinical data to assess safety and functionality of the intravascular ventricular assist system (iVAS) used in the transplantable patient population.
"Patient undergoing robotic surgeries requires steep trendelenburg position (upto 60 degrees) along with pneumoperitoneum. These both can cause a significant rise in intraocular pressure. Significant rise of pressure for prolonged period can cause post operative visual disturbances, which can be of medicolegal importance. Thus studying the quantitative rise and thus trend of intraocular pressure is first step in managing ophthalmic changes during robotic surgeries.",This study analyse the rise in Intraocular Pressure while patient is in surgery in head low position.
To compare aqueous levels of inflammatory cytokines in diabetic and non diabetic patients treated with preoperative topical ketorolac tromethamine 0.45%. To compare the macular thickness changes in diabetic and non diabetic patients treated with preoperative ketorolac tromethamine 0.45% and its correlation with the aqueous inflammatory cytokines.,The purpose of this study is to determine whether there is a relationship between inflammatory cytokines in the aqueous of the eye and thickness of the macula after treatment of topical ketorolac for patients undergoing cataract surgery.
"A 14-day hybrid therapy invented by our study group appears very promising in H. pylori eradication, achieving excellent eradication rates of 99% and 97% according to per-protocol and intention-to-treat analyses, respectively. Recently, the investigators demonstrated that the eradication rate of reverse hybrid therapy was higher than that of standard triple therapy. However, whether reverse hybrid therapy achieves a higher eradication rate than concomitant therapy remains unanswered.",Reverse hybrid therapy achieves a higher eradication rate than concomitant therapy remains unanswered.
"Using virtual reality as a form of distraction during a painful burn wound care procedure in addition to pain medication.The aim of this study is to conduct a randomized controlled trial of Virtual Reality as a means to reduce pain during wound care in patients hospitalized for their burn injuries at Harborview Medical Center Burn Center, and Shriners Hospitals for Children in Galveston, Texas.",Using virtual reality as a form of distraction during a painful burn wound care procedure in addition to pain medication.
"This study is an open-label, partially randomized, 4-period, 5-treatment study in healthy male subjects, performed at a single study center. All subjects will receive the 4 of the 5 treatments. The IV infusion will be fixed as the first treatment (Period 1), the Monodose inhaler will be fixed as the second treatment (Period 2) and the oral formulation will be fixed as the fourth treatment (Period 4). During Period 3, subjects are split into 2 equal cohorts, multiple-dose DPI and pMDI.","This is an open-label,partially randomized, four-period study in healthy male subjects to assess the bioavailability and pharmacokinetics of a single dose of AZD7594 when administered intravenously, orally and inhaled via two different dry powder inhalers (DPIs) and a pressurized meter-dose inhaler (pMDI)"
Objectives: 1. To evaluate the safety and tolerability profile of single oral ascending dose levels of BPN14770 in healthy subjects. 2. To characterize the BPN14770 plasma pharmacokinetic profile following oral administration.,"This is a randomized double-blind (investigator and subject blinded), placebo controlled ascending single dose study to evaluate the safety, tolerability, and pharmacokinetic profile of BPN14770 in healthy male and female subjects. Each subject will be randomized to receive either a single dose of BPN14770 or placebo."
"To healthy male subjects of 16, following treatments are administered dosing in each period and wash-out period is a minimum of 7 days. Group 1: CKD-395 0.5/1000mg 1T(Fasting) / CKD-395 0.5/1000mg 1T(Fed) Group 2: CKD-395 0.5/1000mg 1T(Fed) / CKD-395 0.5/1000mg 1T(Fasting) Pharmacokinetic blood samples are collected up to 48hrs. Investigate the effect of food on the pharmacokinetic characteristics of CKD-395","This study is A randomized, open-label, single dose, 2-way crossover study to investigate the effect of food on the pharmacokinetic characteristics of CKD-395 in healthy male volunteers."
2. Clinical hypothesis 1. SGLT2 inhibitor ameliorates fatty liver and obesity. 2. SGLT2 inhibitor stimulates sympathetic activity. 3. SGLT2 inhibitor increases glucagon secretion. 4. SGLT2 inhibitor enhances lipolysis and hepatic glucose production.,1. Objectives 1. Which organ and how does SGLT2 inhibitor alter insulin sensitivity? 2. How does SGLT2 inhibitor increase glucagon levels and hepatic glucose production?
"The objective of this study is to compare infection rates between primary, delayed primary and vacuum assisted closures in contaminated and dirty/infected laparotomy wounds. Social, demographic, surgical, postsurgical and medical variables were registered. A descriptive analysis expressed as total and percentages, medians and interquartile ranges. Comparison between groups was made using the Kruskal-Wallis, U-Mann Whitney or Chi-squared as appropriate. A p value of less than 0.05 was considered significant.","The objective of the study is to compare infection rates between primary, delayed primary and vacuum assisted closures in contaminated and dirty/infected laparotomy wounds."
"The ZRHR-ERS-09-EXT-US study is a 26-week extension of the original study ZRHR-ERS-09-US. This study will be conducted as a separate investigation, as a follow-up of the randomized exposure period of the original study, extending the exposure from Week 26 (Visit 10 [V10]) to Week 52 (Visit 16 [V16]), and will be using the same sites. Subjects will continue to use the product they were randomized to in the original study ZRHR-ERS-09-US (THS 2.2 arm or CC arm).","The objective of the ZRHR-ERS-09-EXT-US study is to further assess the effect of the Tobacco Heating System 2.2 (THS 2.2), a candidate Modified Risk Tobacco Product, compared to conventional cigarettes (CC) on the components of the ""smokers' health profile"" for a prolonged period of 26 weeks, providing additional information to the results of the original study ZRHR-ERS-09-US of 26-week exposure (NCT02396381). In total, the ZRHR-ERS-09-EXT-US study will extend the exposure period to 52 weeks."
"This study is a prospective, randomised clinical study comparing clinical outcomes of Knee Replacement using the Oxford Knee Score (OKS), in patients receiving either Bicompartmental Knee Replacement performed using Stryker's robotic-arm assisted surgery system Mako, to Total Knee Replacement using the Triathlon Total Knee System performed with either conventional instrumentation or navigation. Functional and radiographic outcomes will be additionally collected as part of this study.","A prospective, randomised controlled trial evaluating Total Knee Replacement with the Stryker Triathlon Primary Total Knee System, compared to Bicompartmental Knee Replacement with Restoris MCK Multicompartmental Knee System performed using Stryker's Robotic-arm assisted surgery system, Mako."
"The efficacy of macular hole (MH) surgery with the halting of prone positioning by monitoring the MH closure in the swept source optical coherence tomographic (SS-OCT) images was compared with the surgery by the surgeon's decision. All eyes were treated by pars plana vitrectomy, internal limiting membrane peeling, and gas tamponade. MH closure was defined as a connection of the edges of the sensory retina in the SS-OCT images.The macular hole closure and visual outcome were compared.",The efficacy of macular hole (MH) surgery with the halting of prone positioning by monitoring the MH closure in the swept source optical coherence tomographic (SS-OCT) images was compared with the surgery by the surgeon's decision. The macular hole closure and visual outcome were compared.
"This is a randomized, single-blind, 3-period crossover study in healthy subjects to assess PK, PD, and safety (including immunogenicity) of a single 6mg subcutaneous injection of CHS-1701 or 6mg SC dose of Neulasta given during each period. The screening period may occur up to 28 days prior to the confinement period. After screening, eligible subjects will be randomly assigned to one of three possible treatment sequences. Treatments will be spaced by not less than 28 days.","This is a randomized, single-blind, 3-period crossover study in healthy subjects to assess PK, PD, and safety (including immunogenicity) of a single 6mg subcutaneous injection of CHS-1701 (Coherus pegfligrastim) or 6mg SC dose of Neulasta (pegfilgrastim) given during each period."
"The patients will be randomized into two groups: intervention and control groups. Patients in the intervention group will receive a supervised resistance exercise training, during hemodialysis, three times/week for 12 weeks, and patients allocate to the control group will received a passive stretching program during the same timeframe.",The purpose of this study is to determine whether a supervised resistance exercise training during hemodialysis is effective to increase physical activity in daily life in patients with end stage renal disease.
"This is a Phase III, randomized, double-blind, double-dummy, active-controlled, parallel group multi-center trial, designed to evaluate the non-inferiority of CAM2038 compared to an existing standard of care (SL BPN) in initiation and maintenance treatment with BPN. The trial will involve 4 phases: Screening, Phase 1 (weekly visits), Phase 2 (monthly visits), and Follow-up. Approximately 380 subjects (190 subjects per arm) will be randomized.","Phase III, randomized, double-blind, double-dummy, active-controlled, parallel group multi-center trial, designed to evaluate the non-inferiority of CAM2038 compared to an existing standard of care (SL BPN) in initiation and maintenance treatment with BPN."
"To compare the effects of 12 months of treatment with enclomiphene 12.5 mg, 25 mg, or placebo capsules on body composition and metabolic parameters in overweight men with acquired hypogonadotropic hypogonadism (confirmed morning T300 ng/dL) following a 6 month diet and 15 month exercise program. Subjects must not have been treated with testosterone products in the 6 months prior to the study and must not ever have used testosterone products for a year or longer.","The purpose of this study is to compare the effects of 12 months of treatment with enclomiphene 12.5 mg, 25 mg, or placebo capsules on body composition and metabolic parameters in overweight men with acquired hypogonadotropic hypogonadism (confirmed morning T300 ng/dL) following a 6 month diet and 15 month exercise program."
"In this prospective study, there is only one group with no placebo/blank control. All qualified IBS-D patients could be admitted to hospital for at least one time of combing therapy (taking rifaximin for 3 days and then receiving fecal microbiota transplantation) and follow-up until 6 months after the first treatment.",The purpose of this study is to evaluate the efficacy as well as safety of rifaximin combined fecal microbiota transplantation(Gut microbiota reconstruction) in the treatment of IBS-D.
